Code,Name,Panel,
aarsd1,Alanyl-tRNA editing protein Aarsd1 (AARSD1),Oncology,
abhd14b,Protein ABHD14B (ABHD14B),Neurology,
abl1,Tyrosine-protein kinase ABL1 (ABL1),Oncology,
acaa1,peroxisomal 3-ketoacyl-CoA thiolase (ACAA1),Oncology,
acan,Aggrecan core protein (ACAN),Cardiometabolic,
ace2,Angiotensin-converting enzyme 2 (ACE2),Cardiometabolic,
acox1,Peroxisomal acyl-coenzyme A oxidase 1 ,Cardiometabolic,
acp5,Tartrate-resistant acid phosphatase type 5 (TR-AP),Cardiometabolic,
acp6,Lysophosphatidic acid phosphatase type 6 (ACP6),Oncology,
acta2,"Actin, aortic smooth muscle ",Cardiometabolic,
actn4,Alpha-actinin-4 (ACTN4),Inflammation,
acvrl1,Serine/threonine-protein kinase receptor R3 (SKR3),Neurology,
acy1,Aminoacylase-1 ,Cardiometabolic,
ada,Adenosine Deaminase (ADA),Inflammation,
ada2,Adenosine deaminase 2 ,Cardiometabolic,
adam15,Disintegrin and metalloproteinase domain-containing protein 15 (ADAM15),Cardiometabolic,
adam22,Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22),Neurology,
adam23,Disintegrin and metalloproteinase domain-containing protein 23 (ADAM 23),Inflammation,
adam8,Disintegrin and metalloproteinase domain-containing protein 8 (ADAM8),Neurology,
adamts13,A disintegrin and metalloproteinase with thrombospondin motifs 13 (ADAM-TS13),Cardiometabolic,
adamts15,A disintegrin and metalloproteinase with thrombospondin motifs 15 (ADAM-TS 15),Oncology,
adamts16,A disintegrin and metalloproteinase with thrombospondin motifs 16 ,Cardiometabolic,
adamts8,A disintegrin and metalloproteinase with thrombospondin motifs 8 ,Oncology,
adcyap1r1,Pituitary adenylate cyclase-activating polypeptide type I receptor ,Oncology,
adgrb3,Adhesion G protein-coupled receptor B3 (ADGRB3),Neurology,
adgre2,Adhesion G protein-coupled receptor E2 (ADGRE2),Inflammation,
adgre5,CD97 antigen (CD97),Cardiometabolic,
adgrg1,Adhesion G-protein coupled receptor G1 (ADGRG1),Oncology,
adgrg2,Adhesion G-protein coupled receptor G2 (ADGRG2),Cardiometabolic,
adh4,All-trans-retinol dehydrogenase [NAD,Cardiometabolic,
adm,ADM (ADM),Oncology,
afp,Alpha-fetoprotein (AFP),Neurology,
ager,Receptor for advanced glycosylation end products (RAGE),Inflammation,
agr2,Anterior gradient protein 2 homolog (AGR2),Neurology,
agr3,Anterior gradient protein 3  (AGR3),Oncology,
agrn,Agrin,Inflammation,
agrp,Agouti-related protein (AGRP),Inflammation,
agxt,Serine--pyruvate aminotransferase ,Cardiometabolic,
ahcy,Adenosylhomocysteinase (AHCY),Cardiometabolic,
ahsp,Alpha-hemoglobin-stabilizing protein ,Neurology,
aif1,Allograft inflammatory factor 1 (AIF1),Oncology,
aifm1,"Apoptosis-inducing factor 1, mitochondrial (AIFM1)",Oncology,
ak1,Adenylate kinase isoenzyme 1 ,Cardiometabolic,
akr1b1,Aldose reductase (AKR1B1),Oncology,
akr1c4,Aldo-keto reductase family 1 member C4 ,Cardiometabolic,
akt1s1,Proline-rich AKT1 substrate 1 (AKT1S1),Neurology,
akt3,RAC-gamma serine/threonine-protein kinase ,Oncology,
alcam,CD166 antigen (ALCAM),Cardiometabolic,
aldh1a1,Retinal dehydrogenase 1 (ALDH1A1),Neurology,
aldh3a1,"Aldehyde dehydrogenase, dimeric NADP-preferring (ALDH3A1)",Inflammation,
alpp,"Alkaline phosphatase, placental type (ALPP)",Oncology,
ambn,Ameloblastin,Inflammation,
ambp,Protein AMBP (AMBP) ,Oncology,
amfr,E3 ubiquitin-protein ligase AMFR ,Neurology,
amigo2,Amphoterin-induced protein 2 (AMIGO2),Oncology,
amn,Protein amnionless (AMN),Inflammation,
amy2a,Pancreatic alpha-amylase ,Cardiometabolic,
amy2b,Alpha-amylase 2B ,Cardiometabolic,
ang,Angiogenin (ANG),Cardiometabolic,
angpt1,Angiopoietin-1 (ANGPT1),Inflammation,
angpt2,Angiopoietin-2 (ANGPT2),Oncology,
angptl1,Angiopoietin-related protein 1 (ANGPTL1),Cardiometabolic,
angptl2,Angiopoietin-related protein 2 ,Inflammation,
angptl3,Angiopoietin-related protein 3 (ANGPTL3),Cardiometabolic,
angptl4,Angiopoietin-related protein 4 (ANGPTL4),Inflammation,
angptl7,Angiopoietin-related protein 7 (ANGPTL7),Oncology,
ankrd54,Ankyrin repeat domain-containing protein 54 ,Oncology,
anpep,Aminopeptidase N (AP-N),Cardiometabolic,
anxa10,Annexin A10 (ANXA10),Neurology,
anxa11,Annexin A11 (ANXA11),Inflammation,
anxa3,Annexin A3 ,Neurology,
anxa4,Annexin A4 (ANXA4),Cardiometabolic,
anxa5,Annexin A5 ,Neurology,
aoc1,Amiloride-sensitive amine oxidase (copper-containing) (AOC1),Inflammation,
aoc3,Membrane primary amine oxidase (AOC3),Cardiometabolic,
apbb1ip,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein (APBB1IP),Oncology,
apex1,DNA-(apurinic or apyrimidinic site) lyase (APEX1),Oncology,
aplp1,Amyloid-like protein 1 (APLP1),Cardiometabolic,
apoh,Beta-2-glycoprotein 1 ,Neurology,
apom,Apolipoprotein M  (APOM),Cardiometabolic,
app,Amyloid beta A4 protein (APP),Neurology,
aprt,Adenine phosphoribosyltransferase ,Neurology,
areg,Amphiregulin (AREG),Oncology,
arg1,Arginase-1 (ARG1),Oncology,
arhgap1,Rho GTPase-activating protein 1 (ARHGAP1),Oncology,
arhgap25,Rho GTPase-activating protein 25 (ARHGAP25) ,Oncology,
arhgef12,Rho guanine nucleotide exchange factor 12 (ARHGEF12),Inflammation,
arid4b,AT-rich interactive domain-containing protein 4B ,Neurology,
arnt,Aryl hydrocarbon receptor nuclear translocator (ARNT),Inflammation,
arsa,Arylsulfatase A (ARSA),Neurology,
arsb,Arylsulfatase B  (ARSB),Oncology,
art3,Ecto-ADP-ribosyltransferase 3 ,Cardiometabolic,
artn,Artemin (ARTN),Inflammation,
asah2,Neutral ceramidase (N-CDase),Neurology,
asgr1,Asialoglycoprotein receptor 1 (ASGR1),Neurology,
atf2,Cyclic AMP-dependent transcription factor ATF-2 ,Neurology,
atg4a,Cysteine protease ATG4A (ATG4A),Oncology,
atox1,Copper transport protein ATOX1 ,Oncology,
atp5if1,"ATPase inhibitor, mitochondrial ",Inflammation,
atp5po,"ATP synthase subunit O, mitochondrial ",Neurology,
atp6ap2,Renin receptor (ATP6AP2),Oncology,
atp6v1d,V-type proton ATPase subunit D (ATP6V1D),Oncology,
atp6v1f,V-type proton ATPase subunit F (ATP6V1F),Neurology,
atxn10,Ataxin-10 ,Neurology,
axin1,Axin-1 (AXIN1),Inflammation,
axl,Tyrosine-protein kinase receptor UFO (AXL),Cardiometabolic,
azu1,Azurocidin (AZU1,Cardiometabolic,
b4galt1,"Beta-1,4-galactosyltransferase 1 (B4GALT1)",Inflammation,
b4gat1,"Beta-1,4-glucuronyltransferase 1 (B4GAT1)",Neurology,
bach1,Transcription regulator protein BACH1 (BACH1),Inflammation,
bag3,BAG family molecular chaperone regulator 3 ,Neurology,
bag6,Large proline-rich protein BAG6 (BAG6),Cardiometabolic,
baiap2,Brain-specific angiogenesis inhibitor 1-associated protein 2 ,Oncology,
bambi,BMP and activin membrane-bound inhibitor homolog (BAMBI),Oncology,
bank1,B-cell scaffold protein with ankyrin repeats (BANK1),Inflammation,
bax,Apoptosis regulator BAX ,Neurology,
bcam,Basal cell adhesion molecule (BCAM),Neurology,
bcan,Brevican core protein (BCAN),Neurology,
bcl2l11,Bcl-2-like protein 11 isoform BimL (BCL2L11),Inflammation,
bcr,Breakpoint cluster region protein (BCR),Inflammation,
